index,key,title,year,doi,status,file,source,note
18,YounGeismarPinedo2022,"Planning and Scheduling in Healthcare for Better Care Coordination: Current Understanding, Trending Topics, and Future Opportunities",2022,10.1111/poms.13867,no_oa_pdf,,https://openalex.org/W4297365093,OpenAlex reports closed access; no OA PDF URL
19,GreenSavinMurray2007,Providing Timely Access to Care: What Is the Right Patient Panel Size?,2007,10.1016/S1553-7250(07)33025-0,no_oa_pdf,,https://openalex.org/W2416761123,No open-access PDF URL reported by OpenAlex
20,GreenSavin2008,Reducing Delays for Medical Appointments: A Queueing Approach,2008,10.1287/opre.1080.0575,no_oa_pdf,,https://openalex.org/W2136045407,No open-access PDF URL reported by OpenAlex
21,MurrayBerwick2003,Advanced Access: Reducing Waiting and Delays in Primary Care,2003,10.1001/jama.289.8.1035,no_oa_pdf,,https://openalex.org/W2170171316,No open-access PDF URL reported by OpenAlex
22,RoseRossHorwitz2011,Advanced Access Scheduling Outcomes: A Systematic Review,2011,10.1001/archinternmed.2011.168,no_oa_pdf,,https://openalex.org/W2038222415,No open-access PDF URL reported by OpenAlex
23,LiuZiyaKulkarni2010,Dynamic Scheduling of Outpatient Appointments Under Patient No-Shows and Cancellations,2010,10.1287/msom.1090.0272,no_oa_pdf,,https://openalex.org/W2123619613,No open-access PDF URL reported by OpenAlex
24,SamoraniLaGanga2015,Outpatient Appointment Scheduling Given Individual Day-Dependent No-Show Predictions,2015,10.1016/j.ejor.2014.06.034,no_oa_pdf,,https://openalex.org/W3126064780,No open-access PDF URL reported by OpenAlex
25,KimVelWhittCha2015,Poisson and Non-Poisson Properties in Appointment-Generated Arrival Processes: The Case of an Endocrinology Clinic,2015,10.1016/j.orl.2015.02.008,no_oa_pdf,,https://openalex.org/W2119802930,No open-access PDF URL reported by OpenAlex
26,KcTerwiesch2009,Impact of Workload on Service Time and Patient Safety: An Econometric Analysis of Hospital Operations,2009,10.1287/mnsc.1090.1037,no_oa_pdf,,https://openalex.org/W2113510131,No open-access PDF URL reported by OpenAlex
27,DelasayIngolfssonKolfalSchultz2019,Load Effect on Service Times,2019,10.1016/j.ejor.2018.12.028,no_oa_pdf,,https://openalex.org/W3125724995,No open-access PDF URL reported by OpenAlex
28,DingKolfalIngolfsson2025,Translating Empirical State-Dependent Service Times Into Queueing Models,2025,10.1177/10591478241309662,download_failed,,https://www.ncbi.nlm.nih.gov/pmc/utils/oa/oa.fcgi?id=PMC13044487,"PMC OA record found, but PMC direct paths returned verification HTML and NCBI FTP/HTTPS file paths failed"
29,ShunkoNiederhoffRosokha2018,Humans Are Not Machines: The Behavioral Impact of Queueing Design on Service Time,2018,10.1287/mnsc.2016.2610,no_oa_pdf,,https://openalex.org/W3121473826,No open-access PDF URL reported by OpenAlex
30,WangZhou2018,Impact of Queue Configuration on Service Time: Evidence from a Supermarket,2018,10.1287/mnsc.2017.2781,no_oa_pdf,,https://openalex.org/W2737706917,No open-access PDF URL reported by OpenAlex
31,StidhamWeber1989,Monotonic and Insensitive Optimal Policies for Control of Queues with Undiscounted Costs,1989,10.1287/opre.37.4.611,no_oa_pdf,,https://openalex.org/W1979230868,No open-access PDF URL reported by OpenAlex
32,GeorgeHarrison2001,Dynamic Control of a Queue with Adjustable Service Rate,2001,10.1287/opre.49.5.720.10605,no_oa_pdf,,https://openalex.org/W1979500760,No open-access PDF URL reported by OpenAlex
33,ChanYomTovEscobar2014,When to Use Speedup: An Examination of Service Systems with Returns,2014,10.1287/opre.2014.1258,no_oa_pdf,,https://openalex.org/W2126964144,No open-access PDF URL reported by OpenAlex
34,ErgunSahinGunesKocabiyikogluKeskin2022,How Does Workload Affect Test Ordering Behavior of Physicians? An Empirical Investigation,2022,10.1111/poms.13711,no_oa_pdf,,https://openalex.org/W4220853801,No open-access PDF URL reported by OpenAlex
35,PrasadPoplauBrownEtAl2020,Time Pressure During Primary Care Office Visits: A Prospective Evaluation of Data from the Healthy Work Place Study,2020,10.1007/s11606-019-05343-6,downloaded,35_PrasadPoplauBrownEtAl2020.pdf,https://link.springer.com/content/pdf/10.1007/s11606-019-05343-6.pdf,manual-pdf
36,HodkinsonZhouJohnsonEtAl2022,Associations of Physician Burnout with Career Engagement and Quality of Patient Care: Systematic Review and Meta-analysis,2022,10.1136/bmj-2022-070442,downloaded,36_HodkinsonZhouJohnsonEtAl2022.pdf,https://www.bmj.com/content/bmj/378/bmj-2022-070442.full.pdf,pdf
37,Green2002,How Many Hospital Beds?,2002,10.5034/inquiryjrnl_39.4.400,download_failed,,https://openalex.org/W1997178285,"https://doaj.org/article/9e62b19b9a29453db22581472558bcaf => not-pdf:b'<!DOCTYPE html>\n<html dir=""ltr"" lang=""en'"
38,BagustPlacePosnett1999,Dynamics of Bed Use in Accommodating Emergency Admissions: Stochastic Simulation Model,1999,10.1136/bmj.319.7203.155,downloaded,38_BagustPlacePosnett1999.pdf,https://www.bmj.com/content/bmj/319/7203/155.full.pdf,pdf
39,AumannSerrano2008,An Economic Index of Riskiness,2008,10.1086/591947,no_oa_pdf,,https://openalex.org/W1873833619,No open-access PDF URL reported by OpenAlex
40,BrownSim2009,Satisficing Measures for Analysis of Risky Positions,2009,10.1287/mnsc.1080.0929,no_oa_pdf,,https://openalex.org/W2138862581,No open-access PDF URL reported by OpenAlex
41,XieLokeSimLam2023,"The Analytics of Bed Shortages: Coherent Metric, Prediction, and Optimization",2023,10.1287/opre.2021.2231,downloaded,41_XieLokeSimLam2023.pdf,https://pure.eur.nl/ws/files/145319396/xie-et-al-2022-the-analytics-of-bed-shortages-coherent-metric-prediction-and-optimization.pdf,pdf
42,ZhouSimLam2022,Advance Admission Scheduling via Resource Satisficing,2022,10.1111/poms.13799,no_oa_pdf,,https://openalex.org/W4283788907,No open-access PDF URL reported by OpenAlex
43,LongSimZhou2023,Robust Satisficing,2023,10.1287/opre.2021.2238,no_oa_pdf,,https://openalex.org/W4210430861,No open-access PDF URL reported by OpenAlex
44,CollinsReitsmaAltmanMoons2015,Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD): The TRIPOD Statement,2015,10.1136/bmj.g7594,downloaded,44_CollinsReitsmaAltmanMoons2015.pdf,https://www.bmj.com/content/bmj/350/bmj.g7594.full.pdf,pdf
45,WolffMoonsRileyEtAl2019,PROBAST: A Tool to Assess the Risk of Bias and Applicability of Prediction Model Studies,2019,10.7326/M18-1376,download_failed,,https://openalex.org/W2907554860,"https://research-information.bris.ac.uk/en/publications/c422892f-82b3-4a81-a5a6-c3c6151555d5 => not-pdf:b'\n\n\n\n<!DOCTYPE html>\n<html lang=""en"" clas' | http://eprints.keele.ac.uk/5884/1/R%20Riley%20-%20PROBAST%20A%20tool%20to%20assess%20the%20risk%20of%20bias....pdf => URLError: <urlopen error _ssl.c:999: The handshake operation timed out>"
46,VaseyNagendranCampbellEtAl2022,Reporting Guideline for the Early-Stage Clinical Evaluation of Decision Support Systems Driven by Artificial Intelligence: DECIDE-AI,2022,10.1038/s41591-022-01772-9,downloaded,46_VaseyNagendranCampbellEtAl2022.pdf,https://pure.amsterdamumc.nl/ws/files/139852420/Reporting-guideline-for-the-early-stage-clinical-evaluation-of-decision-support-systems-driven-by-artificial-intelligenc.pdf,pdf
47,BerryJaekerTucker2017,Past the Point of Speeding Up: The Negative Effects of Workload Saturation on Efficiency and Patient Severity,2017,10.1287/mnsc.2015.2387,no_oa_pdf,,https://openalex.org/W2341698163,No open-access PDF URL reported by OpenAlex
48,WilsonChilds2002,"The Relationship between Consultation Length, Process and Outcomes in General Practice: A Systematic Review",2002,,no_oa_pdf,,https://openalex.org/W1864620431,No open-access PDF URL reported by OpenAlex
49,LemonSmith2014,Consultation Content Not Consultation Length Improves Patient Satisfaction,2014,10.4103/2249-4863.148102,download_failed,,https://doaj.org/article/cfa8f42ab2c346e6972e62461d24063c,"DOAJ/PMC/LWW fulltext records found, but direct PDF/site requests returned Cloudflare/HTML or unavailable FTP paths"
50,DantasFleckOliveiraHamacher2018,No-Shows in Appointment Scheduling: A Systematic Literature Review,2018,10.1016/j.healthpol.2018.02.002,no_oa_pdf,,https://openalex.org/W2791071944,No open-access PDF URL reported by OpenAlex
51,LeonGarciaWieringaEspinozaEtAl2023,Does the Duration of Ambulatory Consultations Affect the Quality of Healthcare? A Systematic Review,2023,10.1136/bmjoq-2023-002311,downloaded,51_LeonGarciaWieringaEspinozaEtAl2023.pdf,https://bmjopenquality.bmj.com/content/bmjqir/12/4/e002311.full.pdf,pdf
52,NguyenHoncharovBallardEtAl2024,Primary Care Physicians' Experiences With and Adaptations to Time Constraints,2024,10.1001/jamanetworkopen.2024.8827,downloaded,52_NguyenHoncharovBallardEtAl2024.pdf,https://publications.aston.ac.uk/id/eprint/46275/1/nguyen_2024_oi_240328_1713448548.6277.pdf,manual-pdf
53,CollinsMoonsDhimanEtAl2024,TRIPOD+AI Statement: Updated Guidance for Reporting Clinical Prediction Models That Use Regression or Machine Learning Methods,2024,10.1136/bmj-2023-078378,downloaded,53_CollinsMoonsDhimanEtAl2024.pdf,https://www.bmj.com/content/bmj/385/bmj-2023-078378.full.pdf,pdf
54,MoonsDamenKaulEtAl2025,"PROBAST+AI: An Updated Quality, Risk of Bias, and Applicability Assessment Tool for Prediction Models Using Regression or Artificial Intelligence Methods",2025,10.1136/bmj-2024-082505,downloaded,54_MoonsDamenKaulEtAl2025.pdf,https://www.bmj.com/content/bmj/388/bmj-2024-082505.full.pdf,pdf
55,MandersonTaylorLewisEtAl2025,Service-Level Interventions to Reduce Waiting Time in Outpatient and Community Health Settings May Be Sustained: A Systematic Review,2025,10.1136/bmjoq-2024-003235,downloaded,55_MandersonTaylorLewisEtAl2025.pdf,https://bmjopenquality.bmj.com/content/bmjqir/14/1/e003235.full.pdf,manual-pdf
56,IrvingNevesDambhaMillerEtAl2017,International Variations in Primary Care Physician Consultation Time: A Systematic Review of 67 Countries,2017,10.1136/bmjopen-2017-017902,downloaded,56_IrvingNevesDambhaMillerEtAl2017.pdf,https://research.edgehill.ac.uk/ws/files/102467777/e017902.full.pdf,pdf
57,CaoWanTuShangEtAl2011,A Web-Based Appointment System to Reduce Waiting for Outpatients: A Retrospective Study,2011,10.1186/1472-6963-11-318,downloaded,57_CaoWanTuShangEtAl2011.pdf,https://bmchealthservres.biomedcentral.com/counter/pdf/10.1186/1472-6963-11-318,pdf
58,BernsteinKeskinMersereauWoodZiya2026,Frontiers in Operations: Show-Up Profiles for Scheduled Services: Estimation and Applications,2026,10.1287/msom.2024.1575,no_oa_pdf,,https://openalex.org/W7130314244,No open-access PDF URL reported by OpenAlex
